Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Births attended by skilled health staff (% of total),,,96,,,,,,,,,,,,,,,
Afghanistan,AFG,Births attended by skilled health staff (% of total),12.4,,,14.3,,,18.9,,24,,34.3,38.6,39.9,,45.2,50.5,,
Angola,AGO,Births attended by skilled health staff (% of total),,44.7,,,,,,46.7,,,,,,,,,49.6,
Albania,ALB,Births attended by skilled health staff (% of total),99.1,99,98,98.8,99.3,99.8,99,,,99.3,,,,,,,,
Andorra,AND,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Arab World,ARB,Births attended by skilled health staff (% of total),70.27786548,,,,,,,,,,,,,,83.04140405,,,
United Arab Emirates,ARE,Births attended by skilled health staff (% of total),,,,100,100,,,,100,,,,,99.9,99.9,99.9,,
Argentina,ARG,Births attended by skilled health staff (% of total),99.1,98.4,98.9,98.7,99.1,99.1,99.4,99.4,94.8,97.9,94.97,97.14,98.2,97.04,99.6,99.6,,
Armenia,ARM,Births attended by skilled health staff (% of total),96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,,99.8,
American Samoa,ASM,Births attended by skilled health staff (% of total),,,100,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Births attended by skilled health staff (% of total),99.9,100,99,99,100,99.9,99.9,100,100,100,100,,100,100,100,,,
Australia,AUS,Births attended by skilled health staff (% of total),99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,,99.3,99.7,99.7,,
Austria,AUT,Births attended by skilled health staff (% of total),98.3,98.3,98.4,98.4,98.4,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,98.5,98.4,
Azerbaijan,AZE,Births attended by skilled health staff (% of total),84.1,94,94,95.8,95.9,94.4,88.6,93,98,99.8,99.4,97.2,99.8,99.9,99.9,99.8,99.8,
Burundi,BDI,Births attended by skilled health staff (% of total),25.2,,,,,31.8,,,,,60.3,,78.4,,,,,85.1
Belgium,BEL,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Benin,BEN,Births attended by skilled health staff (% of total),,65.5,,,,75,74,,,,,,80.9,,77.2,,,
Burkina Faso,BFA,Births attended by skilled health staff (% of total),,,,37.8,,,53.5,,,,65.9,,,,,79.8,,
Bangladesh,BGD,Births attended by skilled health staff (% of total),12.1,12,,13.9,13.2,,20.1,18,,24.4,26.5,31.7,,43.5,42.1,,49.8,
Bulgaria,BGR,Births attended by skilled health staff (% of total),99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6,99.6,99.5,,,99.7,99.7,99.8,,
Bahrain,BHR,Births attended by skilled health staff (% of total),97.7,97.5,97.6,97.8,99.4,100,97.5,97.4,97.5,99.4,99.3,99.6,99.8,99.8,99.8,99.7,,
"Bahamas, The",BHS,Births attended by skilled health staff (% of total),99,,99,99,98,,99,99,99,,99,99,,98,99.6,,,
Bosnia and Herzegovina,BIH,Births attended by skilled health staff (% of total),98.9,99.8,99.8,99.9,99.9,99.9,99.4,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,99.9,,
Belarus,BLR,Births attended by skilled health staff (% of total),99.9,99.9,99.9,99.9,99.9,100,99.9,99.9,99.9,99.9,99.9,99.8,100,99.8,99.8,,,
Belize,BLZ,Births attended by skilled health staff (% of total),100,,97,,87.8,89.3,94.2,94.6,94.9,93.5,94.3,95.1,,94.2,,,96.8,
Bermuda,BMU,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Bolivia,BOL,Births attended by skilled health staff (% of total),67.3,,65.1,60.8,,,,,71.1,,,84.04,84.8,,,,89.8,
Brazil,BRA,Births attended by skilled health staff (% of total),98.6,98.3,98.5,98.4,98.6,98.6,97,98.6,98.8,98.9,98.9,99,99,99.1,99.1,99.2,,
Barbados,BRB,Births attended by skilled health staff (% of total),98,,100,100,100,100,100,100,100,,,100,98.9,98.6,99.7,99,,
Brunei Darussalam,BRN,Births attended by skilled health staff (% of total),99.5,99.7,99.6,99.6,99.6,99.7,99.7,99.9,99.7,99.9,99.8,99.7,99.8,99.7,99.9,100,100,
Bhutan,BTN,Births attended by skilled health staff (% of total),23.7,,,56.1,,52.3,57.1,53.6,66.3,66,64.5,70,74.6,89,89,89,89,
Botswana,BWA,Births attended by skilled health staff (% of total),98.5,92,96.5,96.1,97.3,94,99.3,94.6,98.3,99.5,99.1,99.8,99.8,99.9,99.5,99.7,,
Central African Republic,CAF,Births attended by skilled health staff (% of total),31.7,,,,,,41.4,,43.7,43.7,40,,,,,,,
Canada,CAN,Births attended by skilled health staff (% of total),99.3,99.3,99.3,98.9,99,98.8,98.8,100,98.7,98.6,98.5,99.9,98.1,98,97.9,,,
Switzerland,CHE,Births attended by skilled health staff (% of total),,,,,,,100,,,,,,,,,,,
Channel Islands,CHI,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Chile,CHL,Births attended by skilled health staff (% of total),99,99.8,99.8,97.7,99.8,99.8,99.8,99.7,99.85,99.8,99.83,99.85,99.83,99.8,99.75,99.7,,
China,CHN,Births attended by skilled health staff (% of total),96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,,
Cote d'Ivoire,CIV,Births attended by skilled health staff (% of total),62.8,,,,68,55.1,56.8,,,,,,59.4,,,,73.6,
Cameroon,CMR,Births attended by skilled health staff (% of total),56.1,,,,58.9,,45.9,,,,,56.1,,,64.7,,,
"Congo, Dem. Rep.",COD,Births attended by skilled health staff (% of total),,60.7,,,,,,64.4,,,74.2,,,,80.1,,,
"Congo, Rep.",COG,Births attended by skilled health staff (% of total),,,,,,83.4,,,,,,,92.5,,,94.4,,
Colombia,COL,Births attended by skilled health staff (% of total),86.1,93.1,94.5,95,95.6,90.7,97.1,97.8,98.1,98.6,99.1,99.2,98.7,98.7,98.9,95.5,99.2,
Comoros,COM,Births attended by skilled health staff (% of total),61.8,,,,,,,,,,,,82.2,,,,,
Cabo Verde,CPV,Births attended by skilled health staff (% of total),,,,,,77.5,76.4,74.4,74.6,75.6,98.5,98.7,,92.3,95.6,91.4,,
Costa Rica,CRI,Births attended by skilled health staff (% of total),96.6,98,98.5,98.2,98.5,98.5,98.6,98.7,99.1,99.1,95.3,98.4,98.9,97,99.11,90,,
Cuba,CUB,Births attended by skilled health staff (% of total),99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,
Curacao,CUW,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Births attended by skilled health staff (% of total),,,,,,100,,,,,,,,,,,,
Cyprus,CYP,Births attended by skilled health staff (% of total),97.9,,,99,95.7,99.3,98.5,98.3,97.2,98.3,98.6,98.3,98.7,99.9,97.4,,,
